city,title,rank,point,tag,link,review
Phoenix,Elevated Taproom,46,4.8,"['Beer Bar', 'Cocktail Bars', 'Pizza']",/biz/elevated-taproom-phoenix-3,(86 reviews)
Phoenix,Wren & Wolf,47,4.2,"['Cocktail Bars', 'Steakhouses', 'American (New)']",/biz/wren-and-wolf-phoenix,(455 reviews)
Phoenix,Harumi Sushi & Sake- Downtown,48,4.6,"['Japanese', 'Sushi Bars', 'Seafood']",/biz/harumi-sushi-and-sake-downtown-phoenix,(2.5k reviews)
Phoenix,Rosso Italian,49,4.4,"['Italian', 'Pizza', 'Seafood']",/biz/rosso-italian-phoenix-2,(124 reviews)
Phoenix,Belly Kitchen & Bar,50,4.4,"['Bars', 'Vietnamese']",/biz/belly-kitchen-and-bar-phoenix,(202 reviews)
Phoenix,Welcome Diner,51,4.4,['Diners'],/biz/welcome-diner-phoenix,(1.3k reviews)
Phoenix,Sidecar Social Club,52,4.6,"['Cocktail Bars', 'American (New)', 'Beer, Wine & Spirits']",/biz/sidecar-social-club-phoenix,(65 reviews)
Phoenix,Binkley’s Restaurant,53,4.9,"['American (New)', 'Bars']",/biz/binkleys-restaurant-phoenix,(158 reviews)
Phoenix,JINYA Ramen Bar - Central Phoenix,54,3.6,"['Ramen', 'Noodles', 'Tapas/Small Plates']",/biz/jinya-ramen-bar-central-phoenix-coming-soon-phoenix-2,(58 reviews)
Phoenix,Miel De Agave,55,4.4,"['Mexican', 'Breakfast & Brunch', 'Cocktail Bars']",/biz/miel-de-agave-phoenix,(270 reviews)
Phoenix,Upstairs At FLINT,56,4.1,"['Bars', 'Tapas/Small Plates', 'Pizza']",/biz/upstairs-at-flint-phoenix,(28 reviews)
Phoenix,El Chullo Peruvian Restaurant,57,4.8,"['Peruvian', 'Bars', 'Seafood']",/biz/el-chullo-peruvian-restaurant-phoenix,(17 reviews)
Phoenix,Goji Berry,58,4.6,"['Vegan', 'Cafes', 'Acai Bowls']",/biz/goji-berry-phoenix,(64 reviews)
Phoenix,Mifan claypot kitchen,59,4.4,"['Asian Fusion', 'Vegan']",/biz/mifan-claypot-kitchen-phoenix-2,(103 reviews)
Phoenix,The Genuine,60,3.9,['American (New)'],/biz/the-genuine-phoenix-2,(123 reviews)
Phoenix,Nook Kitchen,61,4.4,"['Italian', 'American (New)', 'Cocktail Bars']",/biz/nook-kitchen-phoenix,(632 reviews)
Phoenix,Smackin’ Wings,62,4.2,['Chicken Wings'],/biz/smackin-wings-phoenix-7,(67 reviews)
Phoenix,The Porch,63,3.8,"['Sports Bars', 'Cocktail Bars', 'American (New)']",/biz/the-porch-phoenix-2,(917 reviews)
Phoenix,Dick’s Hideaway,64,4.3,"['Breakfast & Brunch', 'New Mexican Cuisine']",/biz/dicks-hideaway-phoenix,(1.2k reviews)
Phoenix,Renata’s Hearth,65,4.3,"['Latin American', 'Spanish']",/biz/renatas-hearth-phoenix,(117 reviews)
