city,title,rank,point,tag,link,review
Naperville,Shuckin’ Shack Oyster Bar,42,3.8,"['Seafood', 'Sports Bars']",/biz/shuckin-shack-oyster-bar-naperville,(58 reviews)
Naperville,The Argonaut,43,4.6,['Seafood'],/biz/the-argonaut-naperville,(10 reviews)
Naperville,Sudooku Ramen,44,4.6,"['Ramen', 'Soup']",/biz/sudooku-ramen-naperville,(86 reviews)
Naperville,Zade’s Lounge,45,4.2,"['Lounges', 'Barbeque', 'Arcades']",/biz/zades-lounge-naperville,(33 reviews)
Naperville,Paris Bistro,46,4.0,"['French', 'Cafes', 'Creperies']",/biz/paris-bistro-naperville,(410 reviews)
Naperville,Bonchon,47,4.0,"['Chicken Wings', 'Korean', 'Asian Fusion']",/biz/bonchon-aurora-2,(17 reviews)
Naperville,The Foxtail,48,4.6,"['Breakfast & Brunch', 'Bars', 'Mediterranean']",/biz/the-foxtail-downers-grove,(154 reviews)
Naperville,La Sorella di Francesca,49,3.8,['Italian'],/biz/la-sorella-di-francesca-naperville,(395 reviews)
Naperville,Sanguche,50,4.7,"['Peruvian', 'Sandwiches']",/biz/sanguche-naperville,(409 reviews)
Naperville,Lola’s Ristorante,71,4.3,"['Italian', 'Sandwiches', 'Food Trucks']",/biz/lolas-ristorante-wheaton,(6 reviews)
Naperville,Katy’s Dumplings,72,4.2,['Chinese'],/biz/katys-dumplings-westmont-2,(879 reviews)
Naperville,Jumbo Crab,73,4.1,"['Seafood', 'Bars', 'Noodles']",/biz/jumbo-crab-bolingbrook,(101 reviews)
Naperville,Rustic Knead,74,4.5,"['Bakeries', 'Breakfast & Brunch', 'Sandwiches']",/biz/rustic-knead-lemont,(225 reviews)
Naperville,Bar Chido,75,4.3,"['Mexican', 'Tapas/Small Plates', 'Cocktail Bars']",/biz/bar-chido-downers-grove,(205 reviews)
Naperville,The Turf Room,76,4.1,"['American (New)', 'Wine Bars']",/biz/the-turf-room-north-aurora,(772 reviews)
Naperville,Pier 19 Restaurant,77,4.0,"['Breakfast & Brunch', 'Steakhouses', 'Pubs']",/biz/pier-19-restaurant-winfield-2,(1 review)
Naperville,Dave’s Hot Chicken,78,4.0,"['Chicken Shop', 'Halal']",/biz/daves-hot-chicken-naperville,(148 reviews)
Naperville,Q-BBQ,79,3.8,['Barbeque'],/biz/q-bbq-naperville,(603 reviews)
Naperville,Wooden Paddle,80,4.5,"['Pizza', 'Tapas/Small Plates', 'Cocktail Bars']",/biz/wooden-paddle-lemont,(374 reviews)
Naperville,Alice’s Corner Bolivian Cuisine,111,4.9,"['Empanadas', 'Sandwiches']",/biz/alice-s-corner-bolivian-cuisine-aurora,(47 reviews)
Naperville,Jibek Jolu,112,3.9,"['Russian', 'Uzbek']",/biz/jibek-jolu-naperville,(7 reviews)
Naperville,The Walrus Room,113,4.3,"['American (Traditional)', 'Cocktail Bars']",/biz/the-walrus-room-geneva,(104 reviews)
Naperville,SixtyFour - Reserve Room,114,4.4,"['American (New)', 'Wine Bars', 'Venues & Event Spaces']",/biz/sixtyfour-reserve-room-naperville-2,(22 reviews)
Naperville,Cooper’s Hawk Winery & Restaurant - Naperville,115,3.9,"['American (New)', 'Wine Bars', 'Wine Tasting Room']",/biz/coopers-hawk-winery-and-restaurant-naperville-naperville,(852 reviews)
Naperville,Ike & Oak Brewing Co,116,4.1,"['Brewpubs', 'Pizza']",/biz/ike-and-oak-brewing-co-woodridge,(208 reviews)
