city,title,rank,point,link,review_n,rank_review
Arlington,Mala Tang,198,3.3,/biz/mala-tang-arlington,707.0,48.0
Arlington,La Famosa,231,4.3,/biz/la-famosa-washington,359.0,94.0
Arlington,Skydome Restaurant,170,3.0,/biz/skydome-restaurant-arlington,385.0,89.0
Arlington,Mezeh - Crystal City,207,4.3,/biz/mezeh-crystal-city-arlington-2,506.0,69.0
Arlington,Tortas Y Tacos La Chiquita,43,4.5,/biz/tortas-y-tacos-la-chiquita-arlington-2,674.0,50.0
Arlington,Taco Ssam,233,4.3,/biz/taco-ssam-baileys-crossroads-3,290.0,107.0
Arlington,Taco Rock,167,4.1,/biz/taco-rock-arlington,300.0,102.0
Arlington,St James - Modern Caribbean,196,4.3,/biz/st-james-modern-caribbean-washington,201.0,130.0
Arlington,Troys Italian Kitchen,226,4.0,/biz/troys-italian-kitchen-arlington,172.0,145.0
Arlington,The Simple Greek,161,3.8,/biz/the-simple-greek-arlington-3,137.0,158.0
Arlington,Rosa Mexicano,175,3.5,/biz/rosa-mexicano-coming-soon-arlington,42.0,209.0
Austin,Fonda San Miguel,218,4.0,/biz/fonda-san-miguel-austin-7,1100.0,35.0
Austin,Koriente,123,4.4,/biz/koriente-austin,1900.0,14.0
Austin,Culinary Dropout,174,4.0,/biz/culinary-dropout-austin,1800.0,16.0
Austin,Phoebes Diner,9,4.5,/biz/phoebes-diner-austin,1700.0,17.0
Austin,888 Pan Asian Restaurant,162,4.1,/biz/888-pan-asian-restaurant-austin,2000.0,11.0
Austin,Old Thousand,234,3.9,/biz/old-thousand-austin,467.0,88.0
Austin,Troy ATX,191,4.5,/biz/troy-atx-austin-4,567.0,73.0
Austin,Juniper,213,4.2,/biz/juniper-austin,655.0,61.0
Austin,Nervous Charlies Bagels,52,4.3,/biz/nervous-charlies-bagels-austin,553.0,77.0
Austin,Tiny Boxwoods,238,3.7,/biz/tiny-boxwoods-austin-3,317.0,108.0
Austin,Devil May Care,160,4.1,/biz/devil-may-care-austin,178.0,133.0
Austin,De Nada Cantina,200,4.4,/biz/de-nada-cantina-austin-2,338.0,106.0
Austin,Rice Ball,232,4.1,/biz/rice-ball-austin,102.0,169.0
Austin,Deans Italian Steakhouse - Austin,180,4.4,/biz/deans-italian-steakhouse-austin-austin-4,155.0,148.0
Austin,Bat City Pies,170,4.9,/biz/bat-city-pies-austin,19.0,223.0
Bloomington,Juannitas,148,3.2,/biz/juannitas-bloomington-4,190.0,27.0
Bloomington,The Village Deli,87,3.3,/biz/the-village-deli-bloomington,237.0,17.0
Bloomington,Mother Bears Pizza West,115,4.1,/biz/mother-bears-pizza-west-bloomington,173.0,31.0
Bloomington,The Owlery Restaurant,12,4.3,/biz/the-owlery-restaurant-bloomington,339.0,11.0
Bloomington,My Thai Cafe & Sushi Bar - West Side,109,4.1,/biz/my-thai-cafe-and-sushi-bar-west-side-bloomington,162.0,34.0
Bloomington,Olive Garden Italian Restaurant,228,3.0,/biz/olive-garden-italian-restaurant-bloomington-10,76.0,86.0
Bloomington,Wings Xtreme U,138,2.6,/biz/wings-xtreme-u-bloomington,87.0,76.0
Bloomington,Peach Garden,171,2.8,/biz/peach-garden-bloomington,73.0,91.0
Bloomington,Feta Kitchen + Cafe,46,4.2,/biz/feta-kitchen-cafe-bloomington-2,92.0,70.0
Bloomington,El Ranchero,235,2.6,/biz/el-ranchero-bloomington-2,53.0,120.0
Bloomington,Baldys Pizza,187,4.0,/biz/baldys-pizza-bloomington,45.0,136.0
Bloomington,Bloomingfoods,207,3.6,/biz/bloomingfoods-bloomington-10,43.0,140.0
Bloomington,Papa Johns Pizza,239,1.6,/biz/papa-johns-pizza-bloomington,30.0,164.0
